REF_AREA,Total_age_0_4,Visible_Minority_Total,Visible_Minority,Unemployment_rate,Total_age_65_older,Total_LIM_18_64,Total_LIM_65_over,LIM_18_64,LIM_65_over,Language_Total,Language_NO_Eng_Fr,Total_age
2021S051248060590,20.0,510.0,130.0,13.8,85.0,275.0,85.0,50.0,5.0,435.0,5.0,435.0
2021S051248060593,20.0,560.0,120.0,11.5,145.0,425.0,80.0,45.0,30.0,555.0,5.0,630.0
2021S051248060595,40.0,1225.0,340.0,11.5,100.0,1055.0,100.0,125.0,10.0,1225.0,15.0,1220.0
2021S051248060596,10.0,395.0,135.0,13.6,5.0,340.0,5.0,65.0,0.0,375.0,5.0,380.0
2021S051248060597,20.0,610.0,220.0,9.6,90.0,480.0,90.0,60.0,5.0,620.0,5.0,625.0
2021S051248060598,20.0,1170.0,415.0,13.3,95.0,1065.0,95.0,160.0,25.0,1215.0,15.0,1215.0
2021S051248060599,10.0,380.0,70.0,13.6,40.0,345.0,40.0,50.0,5.0,400.0,5.0,400.0
2021S051248060600,15.0,635.0,275.0,11.1,30.0,470.0,35.0,75.0,10.0,530.0,0.0,525.0
2021S051248060601,10.0,415.0,145.0,10.8,15.0,360.0,15.0,55.0,0.0,400.0,5.0,400.0
2021S051248060602,20.0,475.0,210.0,18.3,40.0,425.0,35.0,90.0,5.0,520.0,5.0,520.0
2021S051248060603,25.0,620.0,245.0,13.7,60.0,590.0,60.0,95.0,10.0,715.0,20.0,720.0
2021S051248060604,40.0,1495.0,495.0,15.2,45.0,1490.0,45.0,200.0,5.0,1635.0,5.0,1635.0
